PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
355673,2020-03-25,"Cream & Sugar, Item Only",0.0,30,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Cream, Item Only",0.0,84754,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Cream, On Side",0.0,951,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Cut in Half,0.0,63,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"D-Butter, Item Only",0.25,31,7.75,0.0,0.03,0.0,7.72
355673,2020-03-25,Do Not Make (D),0.0,19,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Egg Nog,0.6,9,5.4,0.0,0.6,0.0,4.8
355673,2020-03-25,"Egg White Omelet Veggie, Item Only",1.0,27,27.0,0.01,0.05,0.0,26.95
355673,2020-03-25,"Equal, Item Only",0.0,1917,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Equal, On Side",0.0,7,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Extra Beyond Sausage,1.99,22,43.78,0.01,0.0,0.0,43.78
355673,2020-03-25,Extra Whip Cream,0.0,8,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Grape Jam, Item Only",0.1,6,0.6,0.0,0.0,0.0,0.6
355673,2020-03-25,"Half Sweet Half Unsweet, Item Only",0.0,450,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Half, Item Only, Decaf",0.0,586,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Ham, Item Only",0.7,26,18.2,0.0,0.0,0.0,18.2
355673,2020-03-25,Heated,0.0,13,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Honey, Item Only",0.0,56,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Ice, Item Only",0.0,1863,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Ketchup (D), Item Only",0.0,8,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Lemon, Item Only",0.0,221,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Lemon, On Side",0.0,9,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Lemon, Only",0.0,44,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Less Spread,0.0,1122,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Liquid Cane Sugar, Item Only",0.0,2508,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Mayonnaise, Item Only",0.0,8,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,More Spread,0.0,89,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,No Drizzle,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Not Toasted (D),0.0,263,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,On Side,0.0,196,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Pepper-Black, Item Only",0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Pepper-Black, On Side",0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Salt, Item Only",0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Salt, On Side",0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Sand-Sweet Black Pepper Bacon,1.0,1,1.0,0.0,0.0,0.0,1.0
355673,2020-03-25,"Sausage, Item Only",0.7,57,39.9,0.01,0.0,0.0,39.9
355673,2020-03-25,"Skim Milk, Item Only",0.0,4110,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Sliced,0.0,103,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Splenda, Item Only",0.0,11945,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Splenda, On Side",0.0,150,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Strawberry Jam, Item Only",0.35,9,3.15,0.0,0.0,0.0,3.15
355673,2020-03-25,"Sugar, Item Only",0.0,23832,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Sugar, On Side",0.0,236,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Sweet N Low, Item Only",0.0,2234,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Sweet N Low, On Side",0.0,15,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Tea Bag, Extra",0.0,56,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Toast Dark,0.0,169,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Toast Light,0.0,45,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Toasted (D),0.0,13983,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Turkey Sausage, Item Only",0.7,10,7.0,0.0,0.0,0.0,7.0
355673,2020-03-25,Whip Cream,0.0,762,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Whipped Cream, Item Only",0.0,1519,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Whipped Cream, No",0.0,16,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"White Cheddar, Extra",0.0,3,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Whole Milk, Item Only",0.0,8838,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Whole Milk, On Side",0.0,4,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"WUW-Extra Egg, Fried",0.5,1,0.5,0.0,0.0,0.0,0.5
355673,2020-03-25,"WUW-Extra Meat, Bacon",0.7,21,14.7,0.0,0.39,0.0,14.31
355673,2020-03-25,"WUW-Extra Meat, Ham",0.7,4,2.8,0.0,0.0,0.0,2.8
355673,2020-03-25,"WUW-Extra Meat, Sausage",0.7,3,2.1,0.0,0.0,0.0,2.1
355673,2020-03-25,z-No Price American Cheese,0.0,41,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Butter,0.0,325,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Z-No Price Butter Spread with Canola Oil,0.0,32,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Equal,0.0,2,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Almond Milk,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Cream,0.0,313,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Cream and Sugar,0.0,556,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Ice,0.0,1450,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Lemon,0.0,19,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Skim Milk,0.0,2,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Splenda,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Sugar,0.0,64,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Extra Whole Milk,0.0,8,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Less Cream,0.0,4,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Less Cream and Sugar,0.0,3,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Less Ice,0.0,1266,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Less Splenda,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Less Sugar,0.0,5,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price Less Swirl,0.0,6,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,z-No Price No Cheese,0.0,7,0.0,0.0,0.0,0.0,0.0
